cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2899,NA,14781,1008,2168.3542385494893,1741.514458223072,0,10679,7,763,2324,2960,3724,1,NA,NA
2899,NA,14781,1009,461.33955754008525,257.95211125323243,0,1110,26,277,524,649,756,1,NA,NA
2899,2,230,3036277582702,155.71739,22.498387175071016,82,192,97,107,120,130,137,0.015560516879778094,0,30
2899,2,1482,4301868581702,80.82186,15.893827586233945,48,160,59,63,66,68,68,0.10026385224274406,0,30
2899,1,2664,4301868581702,74.77477,12.82299358283429,42,140,60,65,69,72,76,0.18023137812056017,-730,-1
2899,2,4868,4152194876702,123.32703,15.12326832349954,68,240,100,106,110,120,120,0.3293417224815642,0,30
2899,1,1199,3036277582702,160.09007,22.922717513594463,54,210,121,149,162,170,174,0.08111765103849537,-730,-1
2899,2,4972,4154790876702,73.75502,15.459524796038975,5,134,56,60,70,71,71,0.3363777822880725,0,30
2899,1,6614,4154790876702,74.17221,15.633905487717602,6,120,60,65,70,74,80,0.4474663419254448,-730,-1
2899,1,6511,4152194876702,124.62663,15.616178453728764,62,210,100,110,120,121,121,0.4404979365401529,-730,-1
2899,NA,14781,1002,38.3756173465936,20.551308960745057,0,97,10,21,39,54,65,1,NA,NA
2899,NA,27372,581477911,8.308504160746905,6.593132791018243,0,157,2,2,5,10,16,1.851836817536026,NA,NA
