covariateId,covariateName,analysisId,conceptId
2212109701,measurement: Carbamazepine; free,701,2212109
2212121701,measurement: Lithium,701,2212121
2212237701,measurement: Cadmium,701,2212237
2212395701,"measurement: Hemoglobin; methemoglobin, quantitative",701,2212395
2212542701,measurement: Prostate specific antigen (PSA); total,701,2212542
2212599701,measurement: Transferrin,701,2212599
2212630701,measurement: C-peptide,701,2212630
2212923701,measurement: Thyroglobulin antibody,701,2212923
3000034701,measurement: Microalbumin [Mass/volume] in Urine,701,3000034
3000185701,measurement: Iron saturation [Mass Fraction] in Serum or Plasma,701,3000185
3000212701,measurement: Varicella zoster virus IgG Ab [Units/volume] in Body fluid,701,3000212
3000637701,measurement: Triglyceride [Mass/volume] in Body fluid,701,3000637
3000784701,measurement: Alanine aminotransferase [Enzymatic activity/volume] in Body fluid,701,3000784
3000822701,measurement: Calcium [Mass/volume] in Body fluid,701,3000822
3000963701,measurement: Hemoglobin [Mass/volume] in Blood,701,3000963
3001123701,measurement: Platelet mean volume [Entitic volume] in Blood,701,3001123
3001138701,measurement: Prostate Specific Ag Free [Units/volume] in Serum or Plasma,701,3001138
3001288701,"measurement: Carbon dioxide, total [Moles/volume] in Body fluid",701,3001288
3001349701,measurement: Creatinine [Mass/volume] in 24 hour Urine,701,3001349
3001976701,measurement: Alpha-2-Macroglobulin [Mass/volume] in Unspecified specimen,701,3001976
3002079701,measurement: Sodium [Moles/time] in 24 hour Urine,701,3002079
3002150701,measurement: Parainfluenza virus 3 Ab [Titer] in Body fluid,701,3002150
3002384701,measurement: Cancer Ag 125 [Units/volume] in Body fluid,701,3002384
3002385701,measurement: Erythrocyte distribution width [Ratio],701,3002385
3002582701,measurement: Erythrocytes [#/volume] in Urine,701,3002582
3002683701,measurement: Fibrin degradation products [Presence] in Blood by Agglutination,701,3002683
3002695701,measurement: Complement C4 [Mass/volume] in Body fluid,701,3002695
3002853701,measurement: Influenza virus B Ab [Titer] in Serum,701,3002853
3002861701,measurement: Epstein Barr virus early IgG Ab [Presence] in Serum,701,3002861
3002888701,measurement: Erythrocyte distribution width [Entitic volume],701,3002888
3003181701,measurement: Sodium [Moles/volume] in Urine,701,3003181
3003220701,measurement: Varicella zoster virus IgG Ab [Titer] in Serum,701,3003220
3003304701,measurement: Beta globulin/Protein.total in Body fluid by Electrophoresis,701,3003304
