cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2887,NA,2440,1008,2353.880737704918,2353.892301274635,0,10308,0,427,1588,3474,5926,1,NA,NA
2887,NA,2440,1009,31.412704918032784,55.86925093465994,0,385,0,0,6,37,96,1,NA,NA
2887,1,323,3000784645702,27.20213622291022,17.64942652333224,0.29,135,12,16,22,30,41,0.13237704918032786,-730,-1
2887,1,307,3004249876702,127.69381107491856,17.922602139599775,80,183,101,110,120,125,130,0.12581967213114753,-730,-1
2887,1,328,3004410554702,5.875457317073172,1.0873747689186344,4.3,11.7,5,5.25,5.5,5.9,6.9,0.13442622950819672,-730,-1
2887,1,761,3015232840702,198.3175295663601,46.36157272710916,3.73,665,147,166,192,222,251.35,0.31188524590163935,-730,-1
2887,1,747,3016662840702,0.9848460508701469,3.1589814630311768,0.3,87,0.64,0.71,0.81,0.96,1.07,0.3061475409836066,-730,-1
2887,1,659,3024731583702,88.71714719271624,4.984092664775341,58.3,106.5,83.6,86,88.3,91,93.1,0.2700819672131147,-730,-1
2887,1,156,3028193840702,0.5849358974358976,0.38941063291292005,0.1,3.16,0.28,0.31,0.5,0.67,0.9,0.06393442622950819,-730,-1
2887,1,615,3036243753702,4.556845528455283,0.524697959222621,3.07,7.75,4,4.2,4.5,4.73,5,0.2520491803278688,-730,-1
2887,1,170,3036277582702,171.26470588235293,9.060313432700976,130,191,160,165,171,178,183,0.06967213114754098,-730,-1
2887,1,598,3000637840702,135.39120401337792,91.54057809378256,20,783,60,80,108,160,220,0.24508196721311476,-730,-1
2887,1,250,3003792645702,24.857,12.247137236184123,0.35,143,15,18,22,27,33,0.10245901639344263,-730,-1
2887,1,461,3008108554702,39.40685466377439,11.508429815769118,0.37,52,32.3,38.9,42,44,46.3,0.1889344262295082,-730,-1
2887,1,676,3019210840702,90.97760355029585,28.702999004949824,26,309,69,76,85,96,109,0.27704918032786885,-730,-1
2887,1,547,3035941564702,29.421535648994528,3.6603190252218214,1.73,35.2,27.5,29,29.9,30.7,31.3,0.22418032786885245,-730,-1
2887,1,569,3043688713702,14.18260105448154,1.5353451637662108,8.1,18.2,12.4,13.2,14.1,15.1,15.8,0.2331967213114754,-730,-1
2887,1,645,3050920840702,5.233162790697674,1.3717789759512151,2.1,9.3,3.5,4.1,5.1,6,6.8,0.26434426229508196,-730,-1
2887,1,585,40757503840702,56.209948717948706,16.356626893075585,2.06,149,38,44.79,53,64,76,0.23975409836065573,-730,-1
2887,2,145,3004249876702,122.69655172413792,16.995638385713292,80,178,95,100,110,110,120,0.05942622950819672,0,30
2887,1,613,3010910815702,4.7930505709624835,0.45113364002686507,2.67,7.1,4.21,4.5,4.75,5.04,5.28,0.2512295081967213,-730,-1
2887,1,307,3012888876702,80.1172638436482,11.277222474410472,50,114,64,70,70,80,81,0.12581967213114753,-730,-1
2887,2,146,3012888876702,76.56849315068493,9.263132362328722,60,100,63,65,70,71,71,0.05983606557377049,0,30
2887,1,389,3022174848702,6.7039588688946035,2.021432267149955,2.85,15.8,4.45,5.2,6.23,7.5,8.3,0.1594262295081967,-730,-1
2887,1,250,3025315529702,81.45840000000003,19.00870730094532,24.4,145,58,68.6,81,91.9,105,0.10245901639344263,-730,-1
2887,1,237,44783982531702,27.527341772151903,5.753087463398276,14.44,50.78,20.82,23.42,27.18,30.78,34.87,0.0971311475409836,-730,-1
2887,1,124,46236952117702,90.82379032258065,19.698487482390348,23,147,66,77,89,102,113,0.05081967213114754,-730,-1
2887,1,145,3005090645702,71.30965517241378,19.934111342599575,38,153,48,58,69,79,96,0.05942622950819672,-730,-1
2887,1,628,3028437840702,125.0031050955414,38.24712434062272,1.68,376,81,100.39,122,145,170,0.2573770491803279,-730,-1
2887,1,688,3028465645702,29.35485465116279,31.71919639232777,0.54,395,11,14,20,30.8,45,0.2819672131147541,-730,-1
2887,1,262,3035320751702,9.17003816793893,15.909141676640711,0.1,119,0.8,1.44,3.6,7.6,17.06,0.10737704918032787,-730,-1
2887,1,632,3039827848702,259.05537974683546,65.47160454062046,83,674,184,210,248,283,320,0.25901639344262295,-730,-1
2887,1,111,4261078000702,1.0363063063063065,0.3294152613562619,0.8,3.6,0.91,0.94,0.98,1.02,1.1,0.04549180327868853,-730,-1
2887,NA,2440,1002,41.96516393442623,17.476581473503334,0,98,21,29,42,54,62,1,NA,NA
2887,NA,4467,581477911,12.540163934426229,11.002604237179488,0,154,2,3,7,16,26,1.830737704918033,NA,NA
2899,NA,60963,1008,2088.311992520053,2006.2737485198772,0,9574,2,486,1567,3164,5026,1,NA,NA
