covariateId,covariateName,analysisId,conceptId
3001122701,measurement: Ferritin [Mass/volume] in Serum or Plasma,701,3001122
3001308701,measurement: Cholesterol in LDL [Moles/volume] in Serum or Plasma,701,3001308
3002582701,measurement: Erythrocytes [#/volume] in Urine,701,3002582
3007461701,measurement: Platelets [#/volume] in Blood,701,3007461
3010813701,measurement: Leukocytes [#/volume] in Blood,701,3010813
3011391701,measurement: Calcitriol [Moles/volume] in Serum or Plasma,701,3011391
3013115701,measurement: Eosinophils [#/volume] in Blood,701,3013115
3019198701,measurement: Lymphocytes [#/volume] in Blood,701,3019198
3019550701,measurement: Sodium [Moles/volume] in Serum or Plasma,701,3019550
3019900701,measurement: Cholesterol [Moles/volume] in Serum or Plasma,701,3019900
3020460701,measurement: C reactive protein [Mass/volume] in Serum or Plasma,701,3020460
3020564701,measurement: Creatinine [Moles/volume] in Serum or Plasma,701,3020564
3023602701,measurement: Cholesterol in HDL [Moles/volume] in Serum or Plasma,701,3023602
3025315701,measurement: Body weight,701,3025315
3025839701,measurement: Triglyceride [Moles/volume] in Serum or Plasma,701,3025839
3026493701,measurement: Urate [Moles/volume] in Serum or Plasma,701,3026493
4042248701,measurement: Urine bacteriuria test,701,4042248
4152194701,measurement: Systolic blood pressure,701,4152194
4154790701,measurement: Diastolic blood pressure,701,4154790
4301868701,measurement: Pulse rate,701,4301868
46235168701,measurement: Fasting glucose [Moles/volume] in Blood,701,46235168
3001110701,measurement: Alkaline phosphatase [Enzymatic activity/volume] in Blood,701,3001110
4309023701,measurement: Phosphorus measurement,701,4309023
40757478701,measurement: Albumin [Moles/volume] in Serum or Plasma,701,40757478
3006504701,measurement: Eosinophils/100 leukocytes in Blood,701,3006504
3018010701,measurement: Neutrophils/100 leukocytes in Blood,701,3018010
3035941701,measurement: MCH [Entitic mass],701,3035941
3009508701,measurement: Creatinine [Moles/volume] in Urine,701,3009508
3014724701,measurement: Creatinine [Moles/time] in 24 hour Urine,701,3014724
3016330701,measurement: Potassium [Moles/time] in 24 hour Urine,701,3016330
3023520701,measurement: Reticulocytes [#/volume] in Blood,701,3023520
3025734701,measurement: Magnesium [Moles/volume] in 24 hour Urine,701,3025734
3033836701,measurement: Magnesium [Moles/volume] in Blood,701,3033836
46235783701,"measurement: Chloride [Moles/volume] in Serum, Plasma or Blood",701,46235783
3020785701,measurement: Consult note,701,3020785
4353851701,measurement: High density/low density lipoprotein ratio measurement,701,4353851
3009201701,measurement: Thyrotropin [Units/volume] in Serum or Plasma,701,3009201
3015473701,measurement: Bicarbonate [Moles/volume] in Plasma,701,3015473
3023103701,measurement: Potassium [Moles/volume] in Serum or Plasma,701,3023103
3010910701,measurement: Erythrocytes [#/volume] in Body fluid,701,3010910
3013721701,measurement: Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,701,3013721
3015183701,measurement: Erythrocyte sedimentation rate,701,3015183
3026910701,measurement: Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,701,3026910
40762351701,measurement: Hemoglobin [Moles/volume] in Blood,701,40762351
3009577701,measurement: Iron binding capacity [Moles/volume] in Serum or Plasma,701,3009577
3022948701,measurement: Iron [Moles/volume] in Serum or Plasma,701,3022948
