cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2880,NA,121,1008,0.06611570247933884,0.2495174406089564,0,1,0,0,0,0,0,1,NA,NA
2880,NA,121,1009,11.801652892561984,7.643755441219915,0,50,3,7,11,15,23,1,NA,NA
2880,2,114,3004249000702,122.7280701754386,21.717528945519025,60,179,95,110,120,134,145,0.9421487603305785,0,30
2880,2,115,3020891000702,36.36,0.7636247815632647,35,39.8,35.6,36,36.2,36.6,37,0.9504132231404959,0,30
2880,2,114,3012888000702,69.97368421052632,14.27384545883065,35,118,55,60,70,78,84,0.9421487603305785,0,30
2880,2,115,3027018000702,84.51304347826087,20.5141650750442,52,184,63,70,82,93,103,0.9504132231404959,0,30
2880,NA,121,1002,71.09917355371901,13.457590769201401,30,97,54,64,70,82,88,1,NA,NA
2880,NA,121,9201911,1,0,1,1,1,1,1,1,1,1,NA,NA
2885,NA,2089,1008,0.11153662039253232,0.31487086650107826,0,1,0,0,0,0,1,1,NA,NA
2885,NA,2089,1009,8.08760172331259,6.184463635756084,0,98,2,4,7,10,15,1,NA,NA
2885,1,189,3012888000702,76.54497354497354,12.546693156956868,41,117,41,49,51,55,55,0.09047391096218287,-730,-1
2885,1,191,3020891000702,36.94607329842932,0.876339741177749,35,38.9,35,35,35.1,35.4,35.4,0.09143130684538056,-730,-1
2885,2,1899,3012888000702,71.50816219062665,12.707801166109283,30,127,56,62,70,79,83,0.9090473910962182,0,30
2885,1,189,3004249000702,133.78306878306879,19.59023120378073,85,195,85,92,92,100,100,0.09047391096218287,-730,-1
2885,1,206,3027018000702,91.6747572815534,15.548383766349428,56,145,56,56,58,60,60,0.09861177596936334,-730,-1
2885,2,1900,3004249000702,122.9042105263158,19.491867389275736,58,208,100,110,120,132,140,0.9095260890378172,0,30
2885,2,2059,3027018000702,78.55415250121418,16.63044721396568,30,190,60,68,76,85,93,0.9856390617520344,0,30
2885,2,1597,3016502000702,92.42454602379462,7.096371950480467,30,99,85,91,94,96,97,0.7644806127333652,0,30
2885,1,206,3016502000702,92.4126213592233,6.674277958377813,50,99,63,76,83,86,87,0.09861177596936334,-730,-1
2885,2,2067,3020891000702,36.123947750362845,0.6868931225728424,33.4,39.7,35.4,35.7,36,36.4,36.6,0.9894686452848253,0,30
2885,NA,2089,1002,67.76783149832455,16.732891392316887,1,107,46,57,69,80,89,1,NA,NA
2885,NA,2089,9201911,1,0,1,1,1,1,1,1,1,1,NA,NA
2887,NA,2089,1008,0.10244135950215415,0.30330045061958544,0,1,0,0,0,0,1,1,NA,NA
2887,NA,2089,1009,8.096696984202968,6.177005437344555,0,98,2,4,7,10,15,1,NA,NA
2887,1,175,3004249000702,133.41714285714286,19.518418735920665,85,195,85,92,92,100,100,0.08377213977979894,-730,-1
2887,2,1900,3004249000702,122.90052631578948,19.490322458827357,58,208,100,110,120,132,141,0.9095260890378172,0,30
2887,2,1614,3016502000702,92.44299876084263,7.068974496013757,30,99,85,91,94,96,97,0.7726184777405457,0,30
