covariateId,covariateName,analysisId,conceptId
3016502701,measurement: Oxygen saturation in Arterial blood,701,3016502
3027018701,measurement: Heart rate,701,3027018
3020891701,measurement: Body temperature,701,3020891
3012888701,measurement: Diastolic blood pressure,701,3012888
3004249701,measurement: Systolic blood pressure,701,3004249
1369939402,drug_era: 6-Aminocaproic Acid,402,1369939
991855402,drug_era: Saccharomyces boulardii,402,991855
732893402,drug_era: Bupivacaine,402,732893
953076402,drug_era: Famotidine,402,953076
19037038402,drug_era: Calcium Gluconate,402,19037038
19101849402,drug_era: urapidil,402,19101849
1715117402,drug_era: Aztreonam,402,1715117
744740402,drug_era: zolpidem,402,744740
1370109402,drug_era: Sotalol,402,1370109
1000560402,drug_era: Ondansetron,402,1000560
991876402,drug_era: Loperamide,402,991876
711584402,drug_era: Levetiracetam,402,711584
1797513402,drug_era: Ciprofloxacin,402,1797513
956653402,drug_era: Fosfomycin,402,956653
989878402,drug_era: Lidocaine,402,989878
1337720402,drug_era: Dobutamine,402,1337720
1742253402,drug_era: Levofloxacin,402,1742253
45892847402,drug_era: edoxaban,402,45892847
715259402,drug_era: duloxetine,402,715259
1367571402,drug_era: heparin,402,1367571
43013024402,drug_era: apixaban,402,43013024
40173184402,drug_era: Levosimendan,402,40173184
1344143402,"drug_era: Albumin Human, USP",402,1344143
19025274402,drug_era: Oxygen,402,19025274
1110410402,drug_era: Morphine,402,1110410
1790868402,drug_era: Amikacin,402,1790868
715997402,drug_era: donepezil,402,715997
1709170402,drug_era: meropenem,402,1709170
1771162402,drug_era: Cefazolin,402,1771162
19030353402,drug_era: Bromazepam,402,19030353
1502905402,drug_era: Insulin Glargine,402,1502905
976545402,drug_era: potassium citrate,402,976545
743670402,drug_era: venlafaxine,402,743670
797399402,drug_era: gabapentin,402,797399
1353766402,drug_era: Propranolol,402,1353766
1115008402,drug_era: Naproxen,402,1115008
19078126402,drug_era: Sodium polystyrene sulfonate,402,19078126
19010482402,drug_era: Cyclosporine,402,19010482
1748921402,drug_era: Ritonavir,402,1748921
753626402,drug_era: Propofol,402,753626
1717327402,drug_era: Ampicillin,402,1717327
966991402,drug_era: Simethicone,402,966991
965748402,drug_era: Scopolamine,402,965748
710062402,drug_era: Amitriptyline,402,710062
19008012402,drug_era: Tiapride,402,19008012
1754994402,drug_era: Fluconazole,402,1754994
785649402,drug_era: Ketamine,402,785649
1103314402,drug_era: Tramadol,402,1103314
19037833402,drug_era: Domperidone,402,19037833
1154343402,drug_era: Albuterol,402,1154343
1303425402,drug_era: Tranexamic Acid,402,1303425
929435402,drug_era: Acetazolamide,402,929435
1521987402,drug_era: Teriparatide,402,1521987
1309944402,drug_era: Amiodarone,402,1309944
1102527402,drug_era: Meperidine,402,1102527
713196402,drug_era: interferon beta-1b,402,713196
924566402,drug_era: tamsulosin,402,924566
19044986402,drug_era: fibrinogen concentrate (human),402,19044986
1316262402,drug_era: sildenafil,402,1316262
45775570402,drug_era: polystyrene sulfonate,402,45775570
1551099402,drug_era: Prednisone,402,1551099
19011773402,drug_era: Ascorbic Acid,402,19011773
19069137402,drug_era: bemiparin,402,19069137
19093848402,drug_era: Magnesium Sulfate,402,19093848
836208402,drug_era: Succinylcholine,402,836208
739138402,drug_era: Sertraline,402,739138
1503297402,drug_era: Metformin,402,1503297
1341927402,drug_era: Enalapril,402,1341927
1332418402,drug_era: Amlodipine,402,1332418
19020477402,drug_era: Nitrogen,402,19020477
40228152402,drug_era: dabigatran etexilate,402,40228152
1139042402,drug_era: Acetylcysteine,402,1139042
715710402,drug_era: rasagiline,402,715710
745466402,drug_era: Valproate,402,745466
19112635402,drug_era: Morphine Liposomal,402,19112635
1337860402,drug_era: Dopamine,402,1337860
766529402,drug_era: Haloperidol,402,766529
1188114402,drug_era: dexchlorpheniramine,402,1188114
1343916402,drug_era: Epinephrine,402,1343916
19027080402,drug_era: potassium bicarbonate,402,19027080
703547402,drug_era: Trazodone,402,703547
791967402,drug_era: Lorazepam,402,791967
19055153402,drug_era: Flumazenil,402,19055153
1799139402,drug_era: Oseltamivir,402,1799139
19061088402,drug_era: Dexmedetomidine,402,19061088
1361711402,drug_era: Nitroglycerin,402,1361711
956874402,drug_era: Furosemide,402,956874
1346823402,drug_era: carvedilol,402,1346823
40241331402,drug_era: rivaroxaban,402,40241331
1154029402,drug_era: Fentanyl,402,1154029
19111620402,drug_era: Folic Acid,402,19111620
794852402,drug_era: Chlorpromazine,402,794852
1124300402,drug_era: Diclofenac,402,1124300
19053540402,drug_era: iobitridol,402,19053540
19050488402,drug_era: Etomidate,402,19050488
759740402,drug_era: Pyridostigmine,402,759740
1154161402,drug_era: montelukast,402,1154161
1237049402,drug_era: Theophylline,402,1237049
1328165402,drug_era: Diltiazem,402,1328165
1790812402,drug_era: Chlorhexidine,402,1790812
19088167402,drug_era: Ambroxol,402,19088167
19003953402,drug_era: Rocuronium,402,19003953
755695402,drug_era: Fluoxetine,402,755695
1321341402,drug_era: Norepinephrine,402,1321341
1125315402,drug_era: Acetaminophen,402,1125315
1300978402,drug_era: Megestrol,402,1300978
1307863402,drug_era: Verapamil,402,1307863
1319219402,drug_era: Calcium ascorbate,402,1319219
1786617402,drug_era: Daptomycin,402,1786617
19039298402,drug_era: sevoflurane,402,19039298
987245402,drug_era: Lactulose,402,987245
1101554402,drug_era: Colchicine,402,1101554
19137312402,drug_era: Thiamine,402,19137312
19036781402,drug_era: Calcium Chloride,402,19036781
19014341402,drug_era: Atracurium,402,19014341
1301025402,drug_era: Enoxaparin,402,1301025
948078402,drug_era: pantoprazole,402,948078
1388796402,drug_era: Leucovorin,402,1388796
19015726402,drug_era: Cisatracurium,402,19015726
1800835402,drug_era: Cloxacillin,402,1800835
1322184402,drug_era: clopidogrel,402,1322184
708298402,drug_era: Midazolam,402,708298
1143374402,drug_era: Ephedrine,402,1143374
1734104402,drug_era: Azithromycin,402,1734104
974166402,drug_era: Hydrochlorothiazide,402,974166
975125402,drug_era: Hydrocortisone,402,975125
19007977402,drug_era: lormetazepam,402,19007977
19056874402,drug_era: Dexketoprofen,402,19056874
790253402,drug_era: clorazepate,402,790253
997881402,drug_era: Clindamycin,402,997881
970250402,drug_era: Spironolactone,402,970250
19044273402,drug_era: fospropofol,402,19044273
1167322402,drug_era: Allopurinol,402,1167322
19016749402,drug_era: remifentanil,402,19016749
1792515402,drug_era: Chloroquine,402,1792515
1342001402,drug_era: Enalaprilat,402,1342001
1560524402,drug_era: Glucose,402,1560524
19086888402,drug_era: deflazacort,402,19086888
1580747402,drug_era: sitagliptin,402,1580747
722031402,drug_era: Paroxetine,402,722031
19095309402,drug_era: Cholestyramine Resin,402,19095309
1308842402,drug_era: valsartan,402,1308842
961047402,drug_era: Ranitidine,402,961047
1750087402,drug_era: Povidone-Iodine,402,1750087
956691402,drug_era: Fructose,402,956691
906780402,drug_era: Metoclopramide,402,906780
1326303402,drug_era: Digoxin,402,1326303
1506270402,drug_era: Methylprednisolone,402,1506270
1135766402,drug_era: Phenylephrine,402,1135766
967823402,drug_era: Sodium Chloride,402,967823
19003206402,drug_era: iopromide,402,19003206
948515402,drug_era: Polyethylene Glycols,402,948515
1746940402,drug_era: Erythromycin,402,1746940
19035631402,drug_era: Calcitriol,402,19035631
1718054402,drug_era: Caspofungin,402,1718054
19044727402,drug_era: Vitamin K 1,402,19044727
1363053402,drug_era: Doxazosin,402,1363053
923645402,drug_era: Omeprazole,402,923645
1545958402,drug_era: atorvastatin,402,1545958
19026450402,drug_era: anidulafungin,402,19026450
1777087402,drug_era: Hydroxychloroquine,402,1777087
711714402,drug_era: Dantrolene,402,711714
725131402,drug_era: Mirtazapine,402,725131
19024063402,drug_era: Acenocoumarol,402,19024063
1567198402,"drug_era: Insulin, Aspart, Human",402,1567198
1504620402,drug_era: Methimazole,402,1504620
40244151402,drug_era: Bupivacaine liposome,402,40244151
914335402,drug_era: Atropine,402,914335
19020124402,drug_era: BETAHISTINE,402,19020124
951511402,drug_era: Mupirocin,402,951511
1777806402,drug_era: Ceftriaxone,402,1777806
1501700402,drug_era: levothyroxine,402,1501700
1518254402,drug_era: Dexamethasone,402,1518254
1373928402,drug_era: Hydralazine,402,1373928
1340128402,drug_era: Captopril,402,1340128
1386957402,drug_era: Labetalol,402,1386957
1596977402,"drug_era: Regular Insulin, Human",402,1596977
1178663402,drug_era: Indomethacin,402,1178663
723013402,drug_era: Diazepam,402,723013
35604506402,drug_era: Sugammadex,402,35604506
717136402,drug_era: Neostigmine,402,717136
1776430402,drug_era: Hydrogen Peroxide,402,1776430
1742432402,drug_era: tigecycline,402,1742432
40234201402,drug_era: butylscopolamine,402,40234201
1000632402,drug_era: Clotrimazole,402,1000632
1177480402,drug_era: Ibuprofen,402,1177480
19011082402,drug_era: Cystine,402,19011082
1338005402,drug_era: Bisoprolol,402,1338005
904453402,drug_era: Esomeprazole,402,904453
19066894402,drug_era: Silicones,402,19066894
1776684402,drug_era: Ceftazidime,402,1776684
1774470402,drug_era: Cefotaxime,402,1774470
766814402,drug_era: quetiapine,402,766814
19035704402,drug_era: Calcium Carbonate,402,19035704
1112807402,drug_era: Aspirin,402,1112807
19045317402,drug_era: digoxin antibodies Fab fragments,402,19045317
902251402,drug_era: hypromellose,402,902251
966956402,drug_era: silver sulfadiazine,402,966956
734354402,drug_era: pregabalin,402,734354
1736887402,drug_era: linezolid,402,1736887
19095164402,drug_era: Cholecalciferol,402,19095164
