cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2887,NA,4816,1008,2810.009966777409,1139.4546562720257,0,3710,681,2331,3449,3564,3594,1,NA,NA
2887,NA,4816,1009,87.2406561461794,67.87759424139898,0,319,0,27,82,134,180,1,NA,NA
2887,1,1218,4016239000702,89.50274220032843,7.701631572280288,35.6,131,81.9,85.9,89,92.1,94.7,0.25290697674418605,-730,-1
2887,1,177,3037556840702,5.310790960451976,1.3866274678021049,2.7,12.9,3.7,4.2,5.1,5.9,6.7,0.03675249169435216,-730,-1
2887,1,156,4012918000702,232.7720512820513,108.23152267972372,3.44,743,148,159,184,207,234,0.03239202657807309,-730,-1
2887,1,309,4016239583702,89.63430420711974,5.67800963601138,60.3,108,82.6,86,89,91.4,93,0.06416112956810631,-730,-1
2887,1,271,4101713840702,56.125461254612546,14.317269333757224,19,108,39,46,53,63,71,0.05627076411960133,-730,-1
2887,1,144,4141751000702,64.44520833333334,57.18143447752376,1.15,373,14.8,29,47,67.7,98.5,0.029900332225913623,-730,-1
2887,1,638,4148615000702,55.3466457680251,140.27085776518948,1.32,3560,4.69,43.7,52,58.9,63.6,0.1324750830564784,-730,-1
2887,1,1578,4030871000702,591507.7975088723,2193937.879388469,0,47100000,3.89,4.29,4.66,5.1,6.03,0.3276578073089701,-730,-1
2887,2,207,4030871000702,620753.9259903383,1576400.0908684095,0,5480000,2.29,3.24,3.74,3.91,3.95,0.04298172757475083,0,30
2887,2,135,4152194876702,126.51851851851852,17.4316797949997,90,180,90,97,100,105,109,0.02803156146179402,0,30
2887,2,183,4153000000702,24.30185792349727,36.435646306932426,0,173,0.03,0.1,9.8,10.6,11,0.03799833887043189,0,30
2887,1,1512,4153000000702,20.170092592592617,31.26300903955299,0,500,10.8,12.4,13.5,14.6,15.4,0.313953488372093,-730,-1
2887,1,302,4153001554702,55.76589403973509,10.63209250611104,3.3,84.1,42.6,47.8,54,58.9,63,0.06270764119601328,-730,-1
2887,1,298,4156653554702,0.6795302013422819,0.4700638764108093,0,6,0.2,0.4,0.6,0.7,0.9,0.061877076411960136,-730,-1
2887,1,279,4032789840702,110.98924731182797,64.56525804048412,35,613,55,69,93,126,159,0.05793189368770764,-730,-1
2887,1,191,4192368583702,9.883769633507848,1.523084968193233,6.9,14.2,7.7,8.4,9.6,10.4,10.8,0.03965946843853821,-730,-1
2887,1,437,4097596000702,77.4848970251716,43.09031587068842,7,574,32,49,69,91,112,0.09073920265780731,-730,-1
2887,1,870,4198885000702,34.70767816091954,44.3643429104454,0.98,421,12,15,21,32,46,0.18064784053156147,-730,-1
2887,1,1501,4101713000702,58.429500333111264,88.53876630691309,15,3430,39,45,53,62,71,0.31166943521594687,-730,-1
2887,1,489,4208414000702,5.422141104294478,16.30948680777288,0,145,0.07,0.19,0.54,1.6,3,0.10153654485049834,-730,-1
2887,1,339,4119650000702,11.121061946902657,15.692422361732158,0,79,6.3,6.6,7,7.3,7.7,0.07039036544850498,-730,-1
2887,1,250,4148594000702,15.58748,10.77314389428955,0.8,143,10,12.2,14,16.5,19.43,0.05191029900332226,-730,-1
2887,1,108,4215717000702,18.75925925925926,33.97494138974826,0,188,0,1,4,16,30,0.022425249169435217,-730,-1
2887,1,425,4216722000702,9.973905882352945,13.079276233170312,1.95,246,8.2,9,9.4,9.7,9.9,0.08824750830564784,-730,-1
2887,2,142,4151358000702,45.32306338028169,83.29253895827956,0.22,941.7,0.36,0.403,0.472,31.4,33,0.029485049833887042,0,30
2887,1,1202,4151358000702,39.48419883527454,12.965520317184312,0.22,303,32,37.1,40.6,43.1,45,0.24958471760797343,-730,-1
2887,1,111,4245152753702,4.265225225225226,0.4933500450940153,2,5.6,3.6,3.9,4.2,4.4,4.5,0.02304817275747508,-730,-1
2887,1,599,4246879000702,9.546933222036722,167.51933326238628,0,4100,0.67,1.115,1.75,2.63,3.76,0.12437707641196014,-730,-1
2887,1,1710,4154790876702,78.46140350877192,22.349096751076708,9,901,65,70,79,81,88,0.35506644518272423,-730,-1
2887,2,132,4154790876702,76.76515151515152,10.915259889262847,55,116,58,62,62,62,62,0.027408637873754152,0,30
2887,1,302,4156652554702,32.66192052980131,9.860898331320541,9.6,95.9,18.8,25,31.3,35.7,39.4,0.06270764119601328,-730,-1
2887,1,113,4261078000702,1.6579646017699117,3.0314215074579507,0.88,33,0.95,0.99,1.07,1.23,1.9,0.023463455149501662,-730,-1
2887,1,1061,4263457000702,24.456301602262016,16.056894976498697,5.9,239,14,17,21,24,29,0.22030730897009967,-730,-1
2887,1,191,4263457645702,23.367539267015704,12.522955499371523,5,108,13,16,20,22,26,0.03965946843853821,-730,-1
2887,1,440,4172647000702,0.5526818181818183,0.5056109668337542,0,6.7,0.02,0.2,0.5,0.63,0.9,0.09136212624584718,-730,-1
2887,2,189,4267147000702,49368.94708994709,107639.2809168925,44,585000,109,119,142,157,164,0.03924418604651163,0,30
2887,1,1518,4267147000702,46450.79276679842,100608.7162196469,2.52,924000,159,199,241,305,536,0.31519933554817275,-730,-1
2887,1,487,4194332000702,7.1629363449692,4.129460127984601,0.2,45.3,0.61,5.2,6.9,8.5,10,0.10112126245847176,-730,-1
2887,1,113,4267147444702,248.41592920353983,72.01447345396679,48,461,164,201,235,260,290,0.023463455149501662,-730,-1
2887,1,250,4281085554702,13.6648,1.4918388965208975,11.4,22.3,12.3,12.7,13.2,13.7,14.1,0.05191029900332226,-730,-1
2887,1,1603,4298431000702,1480.3488415470997,3145.4592780662742,0,55000,4.23,5.32,6.7,9.41,4200,0.3328488372093023,-730,-1
2887,1,508,4212065000702,19.90748031496063,20.267279698575297,1,115,3,7,12,20,32,0.10548172757475083,-730,-1
2887,1,258,4216098554702,2.8441860465116284,1.9548565473952395,0,13.4,0.5,1.4,2.1,3.1,3.9,0.05357142857142857,-730,-1
2887,1,1420,37205200000702,82.598767605633725,33.10886937437897,0.3,779.74,46.84,61.37,78.63,94.16,105.51,0.29485049833887045,-730,-1
2887,1,644,4254663000702,32.84260869565216,76.89311887316445,0.54,1950,2.61,20,29.4,36,40.1,0.13372093023255813,-730,-1
2887,1,296,4263307000702,69.6981081081081,399.02548877654147,0,5500,0.9,2.7,6,20.8,70,0.061461794019933555,-730,-1
2887,1,302,4265595000702,136.52649006622516,173.13318753159007,14,2584,46,68,98,145,178,0.06270764119601328,-730,-1
2887,1,458,4281085000702,17.870742358078605,29.324521219332865,10.2,396,12.3,12.8,13.4,14.3,15.2,0.09509966777408638,-730,-1
2887,1,276,44788835645702,22.815217391304348,21.522045871571407,1,281,10,13,17,23,29,0.057308970099667775,-730,-1
2887,1,1728,4324383000702,2.015815972222222,13.235230691999927,0.1,410.89,0.63,0.72,0.84,0.97,1.08,0.3588039867109635,-730,-1
2887,2,169,4324383000702,1.0062130177514794,1.006093270347761,0.41,13.05,0.55,0.55,0.59,0.62,0.63,0.03509136212624585,0,30
2887,1,393,44788275000702,65.72399491094149,25.216256480447868,3.82,141.97,33.01,46.82,62.24,77.59,88,0.08160299003322259,-730,-1
2887,2,135,44788835000702,30.91037037037037,25.233037080572824,3,140,8,8,10.6,11,12,0.02803156146179402,0,30
2887,1,685,2212615000702,6.329445255474448,15.09419114815215,0.84,372,3.6,4.4,5.4,6.3,7.25,0.14223421926910298,-730,-1
2887,1,1246,3025315529702,75.31805778491173,17.622969305666548,5,150,54,62,74,84,94,0.25872093023255816,-730,-1
2887,1,1224,3036277582702,167.79901960784315,9.13953605136957,100,197,156,161,168,173,178,0.2541528239202658,-730,-1
2887,1,1610,4008265000702,197.87714906832295,48.38519077952266,4.94,1148,145,168,194,221,240,0.33430232558139533,-730,-1
2887,1,281,4008265840702,197.49466192170817,38.8053863157866,78,342,143,171,196,218,231,0.05834717607973422,-730,-1
2887,1,1696,4012479000702,153.66568396226415,1361.9877445211632,4,56100,73,92,116,138,155,0.3521594684385382,-730,-1
2887,2,129,4016239000702,89.22248062015504,7.135597823479794,67,121.3,67,76.8,79,81.5,81.7,0.026785714285714284,0,30
2887,1,141,4017355000702,3.284184397163121,1.5978048137672105,0.9,19.3,2.37,2.65,3.1,3.38,3.7,0.029277408637873755,-730,-1
2887,1,197,3022547000702,146.898538071066,614.4982883121698,0,7157,2,4,22,66,250,0.04090531561461794,-730,-1
2887,1,375,4017361000702,43.07936,25.71956902059884,0.27,194.6,21,28,36,45,54,0.07786544850498339,-730,-1
2887,1,1217,3038553531702,26.67876746096957,5.424043918237263,14.47,53.24,20.12,22.58,25.91,29.07,32.21,0.25269933554817275,-730,-1
2887,1,117,4008116000702,103.22905982905982,3.2641749189591596,95,113.5,99,100,102,104,106,0.024294019933554817,-730,-1
2887,1,183,4017648000702,9.107868852459015,13.653582363882428,0.6,141,2.77,3.9,5.6,9.5,13.4,0.03799833887043189,-730,-1
2887,1,112,4042762000702,77.75803571428571,40.14685615549347,0.93,214,36.18,53,74,94.6,113,0.023255813953488372,-730,-1
2887,1,667,4097430000702,140.44860569715144,5.729842013043815,10,151,137,139,140,142,143,0.1384966777408638,-730,-1
2887,1,281,4097664000702,73.11416370106764,286.488528583784,0,4699,26,50.9,57.4,60.9,63,0.05834717607973422,-730,-1
2887,1,1700,4144235000702,101.5094631764706,35.322442386250565,0.77,727,79,86,94,103,116,0.35299003322259137,-730,-1
2887,2,151,4144235000702,107.55224503311258,36.09204933314574,13.589,307,70,73,74,76,77,0.03135382059800664,0,30
2887,1,319,4151358554702,41.47398119122256,4.023896404776678,26,52,35,37.9,40.9,42.9,44,0.0662375415282392,-730,-1
2887,1,1711,4152194876702,129.30157802454704,16.197617067889134,12,230,110,120,128,136,141,0.35527408637873753,-730,-1
2887,1,247,4032173000702,362.5266194331984,269.88430813150075,1,2000,159,206,284,412,582,0.051287375415282395,-730,-1
2887,1,1552,4032789000702,184.4110824742268,2589.521467243666,4.6,102102,59,76,101,135,173,0.3222591362126246,-730,-1
2887,1,107,4175016000702,17.201121495327104,17.417915323082745,0.68,105,0.9,1,1.14,26.1,29.1,0.022217607973421927,-730,-1
2887,1,405,4176561000702,113.60293827160494,171.8514425785981,2,1289,7.52,18,46,120.7,187,0.08409468438538206,-730,-1
2887,1,490,4184637000702,29.297163265306125,38.97811631212036,3.9,721,5.5,6.1,10.6,43,51,0.10174418604651163,-730,-1
2887,2,110,4208414000702,22.835090909090905,45.41562330189818,0.02,213,0.02,0.04,0.1,0.11,0.14,0.022840531561461794,0,30
2887,1,305,4144235840702,96.58360655737705,25.96696522511995,61,330,78,83,91,97,105,0.06333056478405316,-730,-1
2887,1,265,4230636000702,77.7811320754717,34.46777731383291,31,288,47,56,68,82,96,0.055024916943521594,-730,-1
2887,1,934,4245152000702,4.486199143468953,4.399350898111589,2.5,138,3.7,4,4.3,4.5,4.7,0.19393687707641197,-730,-1
2887,2,101,4245152000702,4.235346534653465,0.5604972156156276,2.94,6.2,3.2,3.4,3.51,3.69,3.7,0.02097176079734219,0,30
2887,1,114,4149519000702,181.4298245614035,645.315505180619,0,5718,0,0,0,30,150,0.02367109634551495,-730,-1
2887,1,257,4153000713702,13.789883268482493,1.4566036272594975,8.7,17.4,11.4,12.6,13.4,14.2,14.8,0.053363787375415285,-730,-1
2887,1,184,4250176000702,34.02190217391304,90.95501718435752,0,1000,0,4,10,30,50,0.03820598006644518,-730,-1
2887,2,129,4263457000702,28.62248062015504,20.13138578932036,8,127,10,12,13,15,15,0.026785714285714284,0,30
2887,1,619,4182871000702,30.052455573505657,6.095030028456002,18,106.8,26,28.4,29.7,30.9,31.6,0.12852990033222592,-730,-1
2887,1,288,4182871564702,29.840972222222224,2.2551501474134743,18.5,37.2,27.1,28.6,29.7,30.5,31.2,0.059800664451827246,-730,-1
2887,1,102,4192368000702,16.09166666666667,46.49095313001545,5.3,449,7.2,8.3,9.4,10.8,11.3,0.02117940199335548,-730,-1
2887,1,308,4194332554702,8.123376623376622,2.565780632689968,0.8,21.1,5.3,6.2,7.6,8.7,9.8,0.06395348837209303,-730,-1
2887,1,271,4196969000702,6.463656826568267,7.8210394158806515,0.49,90,0.8,1,1.73,10.33,13.01,0.05627076411960133,-730,-1
2887,1,308,4290193713702,33.30649350649351,1.1628155947739751,29.4,36.1,31.7,32.6,33.1,33.8,34.2,0.06395348837209303,-730,-1
2887,1,208,4198885645702,32.40865384615385,41.332296879424376,5,446,12,16,21,30,45,0.04318936877076412,-730,-1
2887,2,201,4298431000702,1710.2789552238798,3389.8178201446754,0,16980,1,3,3.8,4.2,4.42,0.0417358803986711,0,30
2887,1,627,4215028000702,5.858376395534292,0.7761923294013485,5,9,5,5.1,5.5,6,7,0.13019102990033224,-730,-1
2887,1,482,4216098000702,2.8154771784232353,3.0679871235262035,0,31,0.15,0.84,2,3,4.1,0.10008305647840532,-730,-1
2887,1,337,4230543000702,0.9617240356083088,2.92142823199346,0.12,53,0.3,0.44,0.59,0.82,1.06,0.0699750830564784,-730,-1
2887,1,288,4353510000702,13.597885416666664,123.63418134299542,0.23,2103,2.6,3.8,5.3,7.2,10,0.059800664451827246,-730,-1
2887,2,136,37205200000702,80.44713235294115,27.446988579551977,13.8,164.39,19.83,30,41.09,42.36,45.33,0.02823920265780731,0,30
2887,1,183,4245261000702,17.339945355191258,35.18363265980156,0.8,125,0.95,1,1.09,1.87,2.5,0.03799833887043189,-730,-1
2887,1,133,4272032000702,2.175992481203008,3.034328907124227,0.002,20,0.33,0.5,1.04,2.04,4.7,0.027616279069767442,-730,-1
2887,1,171,40483362000702,97.02631578947368,15.252990368130398,60,149,80,88,96,105,115,0.03550664451827242,-730,-1
2887,1,522,4290193000702,45.8306704980843,61.43798001107552,13.2,370,31.4,32.2,33,33.8,34.2,0.10838870431893688,-730,-1
2887,2,167,44806420000702,99.19401197604789,195.40321500376368,18.17,2594.87,42.14,54.3,64.12,70.61,75,0.03467607973421927,0,30
2887,1,313,44806420000702,81.57367412140572,20.47986568111568,22.86,133.02,50.26,62.28,75.37,82.8,88.26,0.06499169435215947,-730,-1
2887,1,698,4301868483702,73.03868194842407,14.315664263682038,0,142,59,65,72,79,85,0.14493355481727574,-730,-1
2887,1,509,4308739000702,31.739862475442052,20.57730838221171,4,135,12,18,26,34.9,44,0.10568936877076412,-730,-1
2887,1,108,4309023000702,3.586759259259259,1.939964268243876,0.84,22,2.51,2.9,3.4,3.88,4.2,0.022425249169435217,-730,-1
2887,1,301,4324383840702,5.327142857142861,25.767927865394817,0.48,300,0.64,0.72,0.81,0.94,1.02,0.0625,-730,-1
2887,1,130,4339397000702,682.7241538461539,7629.21234919532,5.74,87000,11.1,12.5,13.6,14.5,15.1,0.026993355481727575,-730,-1
2887,1,1220,44788835000702,27.29663934426229,76.70994652049663,1,2584,11,14,19,26,32,0.25332225913621265,-730,-1
2887,NA,4816,1002,55.48525747508306,17.968675521584778,7,102,31,43,55,68,81,1,NA,NA
2887,NA,9224,581477911,20.679817275747503,15.104141816071513,0,130,4,6,13,25,43,1.915282392026578,NA,NA
