"cohortDefinitionId","baseCount","finalCount","modeId"
2897,150187,150187,0
2897,150187,150187,1
2895,37975,37975,0
2895,37975,37975,1
2891,42325,42325,0
2891,42325,42325,1
2887,124221,124221,0
2887,124221,124221,1
2934,124221,6478,0
2934,124221,6478,1
2885,18364,18364,0
2885,18364,18364,1
2932,0,0,0
2932,0,0,1
2880,0,0,0
2880,0,0,1
2920,0,0,0
2920,0,0,1
2899,117990,117990,0
2899,117990,117990,1
2935,117990,1010,0
2935,117990,1010,1
2898,0,0,0
2898,0,0,1
2933,0,0,0
2933,0,0,1
2884,0,0,0
2884,0,0,1
2922,0,0,0
2922,0,0,1
