cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2885,NA,18364,1008,4910.047756480069,968.4627090364307,0,5239,4548,5192,5199,5209,5219,1,NA,NA
2885,NA,18364,1009,32.84131997386191,12.968377556437938,0,119,13,24,36,43,47,1,NA,NA
2885,2,119,3025315529702,75.02571432352941,24.09858378170778,3.36999989,128,6.4000001,12,40,49,49,0.006480069701590068,0,30
2885,1,2779,3036277582702,161.65727238807844,16.19005342063447,1.5,196,150,156,163,170,176,0.15132868656066217,-730,-1
2885,1,10615,3038553531702,29.545205824554873,5.450291460675,4.09000015,59.11000061,23.45999908,25.88999939,28.88999939,32.29000092,36.02000046,0.5780331082552821,-730,-1
2885,1,11194,3025315529702,78.39307040080132,17.08156379316767,3.24000001,215,59,67.09999847,77,87.40000153,98,0.6095621868873884,-730,-1
2885,NA,18364,1002,65.67060553256371,17.20202394103511,0,109,43,54,67,79,87,1,NA,NA
2885,NA,19441,262911,1.14653670224352,0.309154315823726,0,7,1,1,1,1,1,1.058647353517752,NA,NA
2885,NA,35823,9202911,42.22244609017643,24.43154119912886,0,388,16,19,27,42,65,1.9507187976475713,NA,NA
2887,NA,124221,1008,4715.438999847047,1240.638846400793,0,5239,2865,5188,5197,5210,5223,1,NA,NA
2887,NA,124221,1009,33.50380370468761,14.369480824721181,0,156,13,22,36,44,50,1,NA,NA
2887,2,680,3025315529702,56.16576470672059,29.96141406061943,3.36999989,154,5.11999989,6.51999998,7.73999977,8.64000034,9.1499996199999991,0.005474114682702602,0,30
2887,2,479,3038553531702,26.10453024079332,6.0183204763382925,13.850000380000001,52.66999817,13.850000380000001,13.850000380000001,14.56999969,14.56999969,14.56999969,0.0038560307838449216,0,30
2887,1,56839,3025315529702,71.5158714911237,21.650432349623788,2.3599999,215,49.09999847,60,72,83.19999695,95,0.4575635359560783,-730,-1
2887,1,20412,3036277582702,152.6797702325289,28.895623592467693,1,201,100.5,151,160,169,175,0.1643200425048905,-730,-1
2887,2,237,3036277582702,126.41856542016878,47.27063166618792,52.5,186,52.5,52.5,57,60.5,63,0.0019078899702948777,0,30
2887,1,52417,3038553531702,27.507717516429786,6.119944293348375,1,60,20.05999947,23.56999969,27.11000061,30.86000061,34.72999954,0.4219656901812093,-730,-1
2887,NA,124221,1002,51.570330298419755,21.156282789658324,0,112,26,37,49,65,84,1,NA,NA
2887,NA,239021,9202911,30.757714074109852,19.233741662511186,0,788,11,13,19,31,49,1.9241593611386159,NA,NA
2887,NA,25631,262911,0.2289145957607812,0.3776855714635978,0,9,0,0,0,0,1,0.20633387269463296,NA,NA
2891,NA,42325,1008,4882.726898995866,1008.9963874612603,0,5239,4283,5192,5202,5214,5224,1,NA,NA
2891,NA,42325,1009,30.134648552864736,13.131712317658863,0,70,12,20,31,41,47,1,NA,NA
2891,1,5907,3036277582702,160.47855425843576,16.000158841833258,1.45000005,198,149,154.5,161,168,175,0.13956290608387478,-730,-1
2891,1,20776,3025315529702,74.61776665911292,17.461974977765642,2.48000002,215,54,62.59999847,73,84,95.5,0.4908682811577082,-730,-1
2891,2,208,3025315529702,71.2492307873077,20.091826597238637,3.45000005,154,35,35,40,40,43,0.004914353219137625,0,30
2891,2,181,3038553531702,26.920386699060774,5.804005377169304,16.87999916,52.66999817,16.87999916,16.87999916,16.87999916,17.96999931,17.96999931,0.0042764323685764915,0,30
2891,1,19073,3038553531702,28.59217111388245,5.639361828796569,3.93000007,59.11000061,22.04000092,24.79000092,27.96999931,31.51000023,35.31000137,0.4506320141760189,-730,-1
2891,NA,42325,1002,62.768718251624335,20.98073099822893,0,112,34,46,62,82,90,1,NA,NA
2891,NA,23852,262911,0.6216184288245717,0.36195177841310344,0,6,0,0,1,1,1,0.5635440047253396,NA,NA
2891,NA,80700,9202911,36.81828706438275,23.45793420864257,0,555,13,16,23,38,60,1.906674542232723,NA,NA
2895,NA,37975,1008,4887.269703752469,1002.7264590636257,0,5239,4328,5192,5202,5213,5223,1,NA,NA
2895,NA,37975,1009,30.498591178406848,13.072208994129578,0,68,13,20,32,41,47,1,NA,NA
2895,1,5303,3036277582702,160.3455817476202,15.992703605447188,1.45000005,198,149,154,161,168,174.5,0.13964450296247533,-730,-1
2895,2,183,3025315529702,71.41459018562841,19.819130495397555,3.45000005,154,35,35,40,40,40,0.004818959842001317,0,30
2895,2,164,3038553531702,26.698414593231707,5.650544362216435,16.87999916,52.66999817,16.87999916,16.87999916,16.87999916,17.96999931,17.96999931,0.004318630678077683,0,30
