covariateId,covariateName,analysisId,conceptId
3025315701,measurement: Body weight,701,3025315
3036277701,measurement: Body height,701,3036277
3038553701,measurement: Body mass index (BMI) [Ratio],701,3038553
43054909701,measurement: Tobacco smoking status,701,43054909
756055701,measurement: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),701,756055
902427402,drug_era: Timolol,402,902427
981709402,drug_era: dorzolamide,402,981709
740275402,drug_era: Carbamazepine,402,740275
19097481402,drug_era: Cinnarizine,402,19097481
46221581402,"drug_era: insulin, isophane",402,46221581
42899194402,drug_era: Glycyrrhetinic acid,402,42899194
1728416402,drug_era: Penicillin G,402,1728416
732893402,drug_era: Bupivacaine,402,732893
45775584402,drug_era: picosulfurate,402,45775584
954853402,drug_era: Flavoxate,402,954853
902938402,drug_era: ciclesonide,402,902938
1114220402,drug_era: Naloxone,402,1114220
717607402,drug_era: Desvenlafaxine,402,717607
1797513402,drug_era: Ciprofloxacin,402,1797513
991876402,drug_era: Loperamide,402,991876
711584402,drug_era: Levetiracetam,402,711584
750982402,drug_era: Bupropion,402,750982
710650402,drug_era: modafinil,402,710650
989878402,drug_era: Lidocaine,402,989878
44784806402,drug_era: Hypochlorite,402,44784806
964407402,drug_era: Salicylic Acid,402,964407
1742253402,drug_era: Levofloxacin,402,1742253
730548402,drug_era: Bromocriptine,402,730548
901656402,drug_era: Menthol,402,901656
925952402,drug_era: Oxytetracycline,402,925952
19017742402,drug_era: febuxostat,402,19017742
43013024402,drug_era: apixaban,402,43013024
1137529402,drug_era: salmeterol,402,1137529
1557272402,drug_era: Alendronate,402,1557272
1154077402,drug_era: rizatriptan,402,1154077
19071128402,drug_era: Copper,402,19071128
1110410402,drug_era: Morphine,402,1110410
1302398402,drug_era: Ticlopidine,402,1302398
950183402,drug_era: Lactase,402,950183
744798402,drug_era: zonisamide,402,744798
1150871402,drug_era: Misoprostol,402,1150871
1397059402,drug_era: valerian root extract,402,1397059
19030353402,drug_era: Bromazepam,402,19030353
19043154402,drug_era: troxerutin,402,19043154
780442402,drug_era: varenicline,402,780442
46275719402,drug_era: sacubitril,402,46275719
