covariateId,covariateName,analysisId,conceptId
710062402,drug_era: amitriptyline,402,710062
723013402,drug_era: diazepam,402,723013
739138402,drug_era: sertraline,402,739138
752061402,drug_era: prochlorperazine,402,752061
909358402,drug_era: cyclizine,402,909358
911064402,drug_era: zinc oxide,402,911064
937725402,drug_era: bismuth subgallate,402,937725
961047402,drug_era: ranitidine,402,961047
1000560402,drug_era: ondansetron,402,1000560
1103314402,drug_era: tramadol,402,1103314
1106776402,drug_era: tiotropium,402,1106776
1110410402,drug_era: morphine,402,1110410
1112807402,drug_era: aspirin,402,1112807
1115572402,drug_era: beclomethasone,402,1115572
1125315402,drug_era: acetaminophen,402,1125315
1154161402,drug_era: montelukast,402,1154161
1154343402,drug_era: albuterol,402,1154343
1196677402,drug_era: formoterol,402,1196677
1310149402,drug_era: warfarin,402,1310149
1338005402,drug_era: bisoprolol,402,1338005
1548195402,drug_era: estradiol,402,1548195
1549080402,"drug_era: estrogens, conjugated (USP)",402,1549080
1550557402,drug_era: prednisolone,402,1550557
1705674402,drug_era: trimethoprim,402,1705674
1713332402,drug_era: amoxicillin,402,1713332
1738521402,drug_era: doxycycline,402,1738521
19008994402,drug_era: mebeverine,402,19008994
19010400402,drug_era: fusidate,402,19010400
19092353402,drug_era: lymecycline,402,19092353
19115055402,drug_era: sennoside B,402,19115055
19136048402,drug_era: sodium,402,19136048
45775351402,drug_era: bicarbonate ion,402,45775351
797617402,drug_era: citalopram,402,797617
916005402,drug_era: solifenacin,402,916005
920293402,drug_era: nitrofurantoin,402,920293
922976402,drug_era: Peruvian balsam,402,922976
923645402,drug_era: omeprazole,402,923645
939259402,drug_era: budesonide,402,939259
956874402,drug_era: furosemide,402,956874
975125402,drug_era: hydrocortisone,402,975125
986417402,drug_era: polyethylene glycol 3350,402,986417
992956402,drug_era: magnesium hydroxide,402,992956
1000632402,drug_era: clotrimazole,402,1000632
1115008402,drug_era: naproxen,402,1115008
1149196402,drug_era: cetirizine,402,1149196
19036946402,drug_era: benzyl benzoate,402,19036946
19037706402,drug_era: bismuth oxide,402,19037706
19049024402,drug_era: potassium,402,19049024
21604685403,drug_era group: PSYCHOANALEPTICS,403,21604685
21604787403,drug_era group: PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,403,21604787
21604180403,drug_era group: NERVOUS SYSTEM,403,21604180
710062403,drug_era group: amitriptyline,403,710062
21604489403,drug_era group: PSYCHOLEPTICS,403,21604489
21604172403,drug_era group: Quinine and derivatives,403,21604172
21600452403,drug_era group: Rauwolfia alkaloids and diuretics in combination,403,21600452
21600109403,drug_era group: Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),403,21600109
21600451403,drug_era group: ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,403,21600451
723013403,drug_era group: diazepam,403,723013
21604709403,drug_era group: Selective serotonin reuptake inhibitors,403,21604709
21604686403,drug_era group: ANTIDEPRESSANTS,403,21604686
739138403,drug_era group: sertraline,403,739138
21604499403,drug_era group: Phenothiazines with piperazine structure,403,21604499
21604490403,drug_era group: ANTIPSYCHOTICS,403,21604490
752061403,drug_era group: prochlorperazine,403,752061
909358403,drug_era group: cyclizine,403,909358
21602277403,drug_era group: Zinc bandages,403,21602277
21602179403,"drug_era group: Corticosteroids, weak, other combinations",403,21602179
21602262403,drug_era group: MEDICATED DRESSINGS,403,21602262
21602261403,drug_era group: MEDICATED DRESSINGS,403,21602261
21602202403,drug_era group: Biguanides and amidines,403,21602202
21602189403,"drug_era group: Corticosteroids, potent, other combinations",403,21602189
21601880403,drug_era group: Nicotinic acid and derivatives,403,21601880
21601919403,drug_era group: Imidazole and triazole derivatives,403,21601919
21601606403,drug_era group: AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,403,21601606
21601628403,drug_era group: Other agents for treatment of hemorrhoids and anal fissures for topical use,403,21601628
21601237403,drug_era group: CARDIOVASCULAR SYSTEM,403,21601237
21601119403,drug_era group: VITAMIN B12 AND FOLIC ACID,403,21601119
21600810403,"drug_era group: VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",403,21600810
911064403,drug_era group: zinc oxide,403,911064
21602628403,drug_era group: UROLOGICALS,403,21602628
21602359403,drug_era group: GENITO URINARY SYSTEM AND SEX HORMONES,403,21602359
21605205403,drug_era group: Corticosteroids and antiinfectives in combination,403,21605205
21605188403,drug_era group: ANTIINFECTIVES,403,21605188
21605189403,drug_era group: Antiinfectives,403,21605189
21605171403,drug_era group: CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,403,21605171
21605145403,drug_era group: ANTIINFECTIVES,403,21605145
21605144403,drug_era group: OTOLOGICALS,403,21605144
21603553403,drug_era group: Antibiotics,403,21603553
21603041403,drug_era group: OTHER ANTIBACTERIALS,403,21603041
21603057403,drug_era group: Nitrofuran derivatives,403,21603057
21602176403,"drug_era group: Corticosteroids, very potent, combinations with antibiotics",403,21602176
21602169403,"drug_era group: Corticosteroids, potent, combinations with antibiotics",403,21602169
21602163403,"drug_era group: Corticosteroids, moderately potent, combinations with antibiotics",403,21602163
21600101403,drug_era group: Combinations for eradication of Helicobacter pylori,403,21600101
937725403,drug_era group: bismuth subgallate,403,937725
43534842403,drug_era group: Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids,403,43534842
21604015403,drug_era group: ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION,403,21604015
21603282403,"drug_era group: OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",403,21603282
21603283403,drug_era group: Glucocorticoids,403,21603283
21602119403,"drug_era group: Corticosteroids, potent (group III)",403,21602119
21602099403,"drug_era group: CORTICOSTEROIDS, PLAIN",403,21602099
21605042403,drug_era group: Corticosteroids,403,21605042
21605008403,drug_era group: NASAL PREPARATIONS,403,21605008
21604016403,drug_era group: Antiinflammatory/antirheumatic agents in combination with corticosteroids,403,21604016
21603248403,drug_era group: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,403,21603248
21602098403,"drug_era group: CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",403,21602098
21600651403,drug_era group: INTESTINAL ANTIINFLAMMATORY AGENTS,403,21600651
21600652403,drug_era group: Corticosteroids acting locally,403,21600652
21600600403,"drug_era group: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",403,21600600
21601801403,"drug_era group: ACE INHIBITORS, COMBINATIONS",403,21601801
21601832403,"drug_era group: ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",403,21601832
21601724403,"drug_era group: Beta blocking agents, selective, and other diuretics",403,21601724
21601728403,drug_era group: Alpha and beta blocking agents and other diuretics,403,21601728
21601517403,"drug_era group: Sulfonamides, plain",403,21601517
21601516403,drug_era group: HIGH-CEILING DIURETICS,403,21601516
21601461403,drug_era group: DIURETICS,403,21601461
21601458403,drug_era group: Other antihypertensives and diuretics,403,21601458
21601453403,"drug_era group: Alkaloids, excl. rauwolfia, in combination with diuretics",403,21601453
21601553403,drug_era group: High-ceiling diuretics and potassium-sparing agents,403,21601553
21601541403,drug_era group: DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,403,21601541
21601455403,drug_era group: MAO inhibitors and diuretics,403,21601455
21600466403,drug_era group: Imidazoline receptor agonists in combination with diuretics,403,21600466
21600464403,drug_era group: Methyldopa and diuretics in combination,403,21600464
21600081403,drug_era group: H2-receptor antagonists,403,21600081
961047403,drug_era group: ranitidine,403,961047
21600080403,drug_era group: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),403,21600080
3025315701,measurement: Body weight,701,3025315
4018041701,measurement: Allergen specific IgE antibody measurement,701,4018041
4087260701,measurement: Peak expiratory flow rate,701,4087260
4090331701,measurement: Forced expired volume in one second/forced vital capacity ratio,701,4090331
