cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2887,NA,1417,1008,2432.2851093860268,1229.3455762208914,5,5135,514,1815,2302,3376,4144,1,NA,NA
2887,NA,1417,1009,48.597035991531406,29.1491017434738,0,128,6,21,55,71,84,1,NA,NA
2887,1,572,3018251753702,6.171153846153846,1.8253008956957104,2.8,17.4,4.7,5.1,5.5,6.4,8.3,0.4036697247706422,-730,-1
2887,1,297,44816672753702,6.735690235690235,2.8662066957288377,2.4,23.9,4.6,5,5.7,6.9,9.1,0.20959774170783346,-730,-1
2887,1,438,3006923645702,25.296803652968038,20.029350061893247,6,264,12,16,21,27,36,0.30910374029640086,-730,-1
2887,1,429,42869607554702,95.88578088578089,4.788372614748269,55,100,87,91,94,96,97,0.30275229357798167,-730,-1
2887,1,235,40762352579702,52.91489361702128,15.345911489854432,29,120,37,42,49,60,67,0.16584333098094567,-730,-1
2887,1,549,3023602753702,1.324153005464481,0.3653034213982861,0.53,3,0.9,1.06,1.28,1.5,1.8,0.38743824982357095,-730,-1
2887,1,751,40764999117702,76.92942743009321,21.406144278494587,12,139,46,62,78,90,97,0.5299929428369795,-730,-1
2887,1,549,3019900753702,4.837267759562842,1.1416439529907139,1.9,10.6,3.4,4,4.7,5.5,6.2,0.38743824982357095,-730,-1
2887,1,515,3025315529702,82.12271844660194,18.13342594670247,0,180,62,70,80,90,100.9,0.3634438955539873,-730,-1
2887,1,607,3024731583702,90.60461285008238,5.864406689104546,62,117,84,87,90,93,96,0.42836979534227243,-730,-1
2887,1,401,3009542604702,0.4073815461346633,0.04461923978065394,0.16,0.64,0.35,0.38,0.41,0.43,0.45,0.2829922371206775,-730,-1
2887,1,430,3038553532702,29.499514612365115,22.321366433456674,0,475.15,23,25,28,30.9,34.4,0.30345800988002825,-730,-1
2887,1,628,3005456753702,4.181210191082802,0.39955773048668447,2.3,5.9,3.7,3.9,4.2,4.4,4.6,0.44318983768525055,-730,-1
